XZI Gare_de_Lorraine_TGV Metz–Nancy France
PSS Libertador_GENERAL_José_de_San_Martín_Airport Posadas Argentina
PRQ Termal_Airport_(Pres.Roque_Saenz_Pena_Airport) Presidencia_Roque_Sáenz_Peña,_Chaco Argentina
PUD Puerto_Deseado_Airport Puerto_Deseado,_Santa_Cruz_Province Argentina
IGR Cataratas_del_Iguazú_International_Airport Puerto_Iguazú,_Misiones Argentina
PMY El_Tehuelche_Airport Puerto_Madryn Argentina
RCQ Reconquista_Airport Reconquista,_Santa_Fe Argentina
RES Resistencia_International_Airport Resistencia,_Chaco Argentina
RCU Aeropuerto_de_Río_Cuarto Río_Cuarto,_Córdoba Argentina
RGL Piloto_Civil_Norberto_Fernández_International_Airport Río_Gallegos,_Santa_Cruz Argentina
RGA Hermes_Quijada_International_Airport Río_Grande,_Tierra_del_Fuego Argentina
ROS Rosario_-_Islas_Malvinas_International_Airport Rosario Argentina
SZQ Sáenz_Peña_Airport Sáenz_Peña,_Buenos_Aires Argentina
SLA Martín_Miguel_de_Güemes_International_Airport Salta,_Salta_Province Argentina
OES Antoine_de_Saint_Exupéry_Airport San_Antonio_Oeste Argentina
BRC San_Carlos_de_Bariloche_Airport San_Carlos_de_Bariloche,_Río_Negro_Province Argentina
FDO San_Fernando_Airport San_Fernando,_Buenos_Aires Argentina
UAQ Domingo_Faustino_Sarmiento_Airport San_Juan_Province Argentina
LUQ San_Luis_Airport San_Luis Argentina
CPC Aviador_Carlos_Campos_Airport San_Martín_de_los_Andes,_Neuquén Argentina
TUC Teniente_General_Benjamín_Matienzo_International_Airport San_Miguel_de_Tucumán Argentina
AFA San_Rafael_Airport San_Rafael,_Mendoza Argentina
JUJ Gobernador_Horacio_Guzmán_International_Airport San_Salvador_de_Jujuy,_Jujuy Argentina
RSA Santa_Rosa_Airport Santa_Rosa Argentina
SDE Vicecomodoro_Ángel_de_la_Paz_Aragonés_Airport Santiago_del_Estero Argentina
TTG Tartagal_Airport Tartagal,_Salta Argentina
REL Almirante_Marco_Andrés_Zar_Airport Trelew,_Chubut Argentina
OYO Tres_Arroyos_Airport Tres_Arroyos,_Buenos_Aires_Province Argentina
USH Ushuaia_-_Malvinas_Argentinas_International_Airport Ushuaia,_Tierra_del_Fuego Argentina
VDM Gobernador_Edgardo_Castello_Airport Viedma Argentina
VDR Villa_Dolores_Airport Villa_Dolores,_Córdoba Argentina
VLG Villa_Gesell_-_Pinamar_International_Airport Villa_Gesell,_Buenos_Aires Argentina
VME Pringles_Airport Villa_Mercedes,_San_Luis Argentina
APZ Zapala_Airport Zapala,_Neuquén Argentina
LWN Shirak_Airport Gyumri Armenia
EVN Zvartnots_International_Airport Yerevan Armenia
AUA Queen_Beatrix_International_Airport Oranjestad Aruba
ABG Abingdon_Airport Abingdon,_Queensland Australia
ADL Adelaide_Airport Adelaide,_South_Australia Australia
AWN Afton_Downs_Airport Afton_Downs,_South_Australia Australia
AGW Agnew_Airport Agnew,_Queensland Australia
WSY Whitsunday_Airport Airlie_Beach Australia
ALH Albany_Airport Albany,_Western_Australia Australia
ABX Albury_Airport Albury,_New_South_Wales Australia
AXL Alexandria_Airport Alexandria,_Northern_Territory Australia
ASP Alice_Springs_Airport Alice_Springs,_Northern_Territory Australia
ABH Alpha_Airport Alpha,_Queensland Australia
AYD Alroy_Downs_Airport Alroy_Downs,_Northern_Territory Australia
AMT Amata_Airport Amata,_Northern_Territory Australia
AMX Ammaroo_Airport Ammaroo,_Northern_Territory Australia
ADO Andamooka_Airport Andamooka,_South_Australia Australia
ANZ Angus_Downs_Airport Angus_Downs,_Northern_Territory Australia
AYL Anthony_Lagoon_Airport Anthony_Lagoon,_Northern_Territory Australia
AXC Aramac_Airport Aramac,_Queensland Australia
ARY Ararat_Airport Ararat,_Victoria Australia
AGY Argyle_Downs_Airport Argyle_Downs,_Western_Australia Australia
GYL Argyle_Airport Argyle,_Western_Australia Australia
ARM Armidale_Airport Armidale,_New_South_Wales Australia
AAB Arrabury_Airport Arrabury,_Queensland Australia
AUD Augustus_Downs_Airport Augustus_Downs,_Queensland Australia
AUU Aurukun_Airport Aurukun,_Queensland Australia
AWP Austral_Downs_Airport Austral_Downs,_Northern_Territory Australia
AVG Auvergne_Airport Auvergne,_Northern_Territory Australia
AVV Avalon_Airport Avalon,_Victoria Australia
AYR Ayr_Airport Ayr,_Queensland Australia
BDD Badu_Island_Airport Badu_Island,_Queensland Australia
BSJ Bairnsdale_Airport Bairnsdale,_Victoria Australia
LCN Balcanoona_Airport Balcanoona,_South_Australia Australia
